GRE Score,TOEFL Score,University Rating,SOP,LOR ,GPA,Research,Chance of Admit,Category
318.0,113.0,4.0,1.2,3.2,2.34,1,0.756,Medium
329.0,103.0,2.0,1.0,2.5,3.26,1,0.724,Medium
290.38319044778484,104.47390105182626,3.0,3.6807685184163996,3.5121252253001387,3.945246515394441,1,0.86,Safe
290.0212844291255,113.6992836016766,5.0,3.098278523231871,2.5803171997085026,3.585129988617934,1,0.853,Safe
315.84001052326954,100.64923482515712,1.0,3.7852528310494975,5.040518692916231,3.7130757418189866,1,0.864,Safe
335.8537855853685,96.74491737177802,2.0,3.389775563955084,1.8621416918164415,2.671366053785136,0,0.617,Reach
335.0,113.0,2.0,2.6,3.4,3.57,0,0.707,Medium
314.32138621133095,113.98489967389979,4.0,1.9397803321506066,4.087911141857637,2.0260257888141715,0,0.63,Reach
332.0,96.0,4.0,1.9,3.0,3.68,0,0.704,Medium
310.3648063756693,99.1016481304388,3.0,3.297502012259483,4.197792735111869,3.7117429490645795,1,0.88,Safe
322.98949739048896,119.91817556556846,3.0,2.22580645572883,1.309880803180575,2.048966224612009,0,0.606,Reach
311.0,97.0,2.0,4.4,4.3,3.31,0,0.67,Medium
301.1712549205008,101.83441184005531,2.0,2.9658959342543763,1.9471311262729918,2.6118422000580983,0,0.554,Reach
307.0,111.0,2.0,1.4,2.1,2.26,1,0.717,Medium
340.0,116.0,5.0,4.9,1.3,2.64,1,0.854,Safe
327.0,114.0,4.0,4.7,3.3,3.41,0,0.695,Medium
307.60193861144165,115.00029846657107,4.0,1.4814211188674233,2.240013965524748,2.3680490556862264,1,0.765,Medium
339.0,105.0,1.0,4.4,2.5,3.11,0,0.611,Reach
314.52414885450844,101.36196328325423,1.0,3.668642927307963,4.979183419914801,3.6315842586240996,1,0.864,Safe
298.0,100.0,4.0,3.9,2.8,3.31,1,0.851,Safe
323.0,119.0,5.0,4.6,3.3,2.34,1,0.835,Medium
323.0,96.0,5.0,3.0,3.0,2.11,1,0.757,Medium
298.0,93.0,4.0,2.6,3.9,3.6,1,0.841,Medium
311.0,110.0,2.0,2.2,2.9,2.28,1,0.76,Medium
318.0,112.0,2.0,2.6,3.0,2.32,1,0.793,Medium
325.3332689159078,98.40709612021332,4.0,2.3011039042552985,4.313754105637939,3.751277949433294,1,0.891,Safe
337.0,92.0,2.0,1.3,3.0,3.68,1,0.763,Medium
339.0,98.0,4.0,1.7,1.7,3.31,1,0.766,Medium
305.0,92.0,3.0,4.8,2.1,3.3,1,0.796,Medium
335.0,116.0,2.0,1.9,3.4,2.95,0,0.676,Medium
328.0,120.0,1.0,4.2,3.5,3.15,0,0.672,Medium
303.0,119.0,2.0,3.3,4.8,2.73,0,0.649,Reach
333.0,93.0,4.0,3.7,4.7,3.45,0,0.735,Medium
291.0,114.0,1.0,2.9,3.2,3.7,1,0.845,Medium
332.976851540519,95.02824894910913,4.0,4.100133824316259,2.1356653365410483,3.5978547119554687,1,0.878,Safe
332.2937462104958,100.07809655047174,5.0,3.7095659281158695,3.747866162342342,2.5746118101647135,1,0.864,Safe
290.0,103.82691447276385,3.0,3.555882072347664,3.4717210362041824,3.986059912993959,1,0.86,Safe
331.8103676302832,95.21722986297436,4.0,4.009795422127214,2.1652597820241373,3.541239639994101,1,0.878,Safe
319.0,105.0,4.0,1.9,4.3,3.21,0,0.657,Medium
331.43697494610626,105.66765583740582,3.0,4.496630331074377,4.4203276042012485,2.9422576250980716,1,0.889,Safe
295.0,104.0,4.0,2.2,4.8,3.76,0,0.712,Medium
333.06548523690356,96.6630433015232,5.0,3.93441509770758,2.6547592438126455,2.79608924161121,1,0.851,Safe
311.0,106.0,2.0,3.9,4.4,2.59,0,0.677,Medium
297.2038946021416,95.69364442971005,4.0,2.7368478368442153,2.522259091069305,2.146584385828193,0,0.567,Reach
336.0,114.0,1.0,1.9,2.4,2.6,1,0.692,Medium
297.9274415041125,100.77152106701159,4.0,3.987826038339606,2.8615336609924746,3.2838207354965925,1,0.851,Safe
297.65188273084095,110.80244380435582,3.0,4.946640475954462,2.752105778666749,3.949447084066019,1,0.898,Safe
310.44112594168115,99.42596004698464,3.0,3.3224823971942783,4.396029701826405,3.6996680889380382,1,0.88,Safe
321.6676722015114,117.68343591698314,2.0,3.1797860242560954,2.121359361103026,3.251478340844713,0,0.589,Reach
337.59107467370677,107.85499425146797,4.0,3.4137621444830315,1.2249792678267222,2.070880984369411,0,0.643,Reach
293.0,98.0,2.0,4.1,1.4,3.92,0,0.598,Reach
